datetime,open,high,low,close,volume
2023-01-27 11:33:00,176.9228,177.24,176.92,177.0219,629766
2023-01-27 11:34:00,177.03,177.66,176.92,177.5327,808952
2023-01-27 11:35:00,177.5301,178.19,177.46,177.915,1041630.0
2023-01-27 11:36:00,177.915,178.07,177.58,177.955,702127
2023-01-27 11:37:00,177.96,178.1,177.67,177.895,565550
2023-01-27 11:38:00,177.89,178.1,177.7601,178.09,610308
2023-01-27 11:39:00,178.0965,178.63,177.63,178.4199,1205964.0
2023-01-27 11:40:00,178.42,178.89,178.41,178.5974,1079068.0
2023-01-27 11:41:00,178.58,178.59,177.35,177.5095,1053467.0
2023-01-27 11:42:00,177.51,177.822,177.21,177.5596,766728
2023-01-27 11:43:00,177.58,177.767,177.5,177.6535,593324
2023-01-27 11:44:00,177.6365,177.6548,177.3,177.5,565250
2023-01-27 11:45:00,177.52,177.57,176.86,177,898583
2023-01-27 11:46:00,176.9862,177.02,176.11,176.569,1090147.0
2023-01-27 11:47:00,176.57,176.5899,175.79,175.82,837776
2023-01-27 11:48:00,175.83,176.99,175.61,176.8472,1336050.0
2023-01-27 11:49:00,176.8799,177.21,176.6101,176.705,781678
2023-01-27 11:50:00,176.7,176.7655,176.2,176.3261,712081
2023-01-27 11:51:00,176.3134,176.5,176.01,176.135,600754
2023-01-27 11:52:00,176.12,176.33,175.66,175.7955,894394
2023-01-27 11:53:00,175.7997,176.43,175.79,175.85,763780
2023-01-27 11:54:00,175.85,176.13,175.5101,175.88,784770
2023-01-27 11:55:00,175.88,176.7,175.61,176.5041,776883
2023-01-27 11:56:00,176.51,176.51,175.87,175.94,555747
2023-01-27 11:57:00,175.9539,176.2,175.7,175.8501,652739
2023-01-27 11:58:00,175.883,176,175.36,175.715,736360
2023-01-27 11:59:00,175.701,175.7499,175.14,175.2899,780728
2023-01-27 12:00:00,175.2501,175.56,174.81,174.9529,918748
2023-01-27 12:01:00,174.9377,174.96,173.82,174.69,1614272.0
2023-01-27 12:02:00,174.65,174.99,174.3301,174.97,781407
2023-01-27 12:03:00,174.9738,175.76,174.88,175.6101,1085864.0
2023-01-27 12:04:00,175.63,176.35,175.56,176.13,1057769.0
2023-01-27 12:05:00,176.1206,176.1699,175.52,175.5899,762952
2023-01-27 12:06:00,175.59,176.08,175.55,175.67,475426
2023-01-27 12:07:00,175.68,176.1,175.35,176.0599,600960
2023-01-27 12:08:00,176.03,176.52,175.85,176.154,810238
2023-01-27 12:09:00,176.175,176.48,176.03,176.475,554750
2023-01-27 12:10:00,176.4621,176.56,175.8,175.8963,640486
2023-01-27 12:11:00,175.9299,175.985,175.6,175.7375,397102
2023-01-27 12:12:00,175.735,175.93,175.5206,175.537,387259
2023-01-27 12:13:00,175.52,176.29,175.51,175.95,599638
2023-01-27 12:14:00,175.9,176.15,175.65,175.87,412931
2023-01-27 12:15:00,175.89,175.95,175.24,175.535,492177
2023-01-27 12:16:00,175.5496,175.57,175.21,175.464,522300
2023-01-27 12:17:00,175.49,175.64,175,175,517667
2023-01-27 12:18:00,175.015,175.89,175.015,175.67,493236
2023-01-27 12:19:00,175.71,176.2,175.68,176.1999,517100
2023-01-27 12:20:00,176.185,176.2,175.82,175.9356,337321
